Water (Aqua),Water
Cocamidopropyl Betaine,2-{3-(dodecanamido)propylammonio}acetate
Dimethiconol,Dimethylsilanediol
Glycol Distearate,Dimethylsilanediol
Hydroxypropyltrimonium Chloride,2-{2-hydroxy-3-[(trimethyl)ammonio]propoxy}ethanol
Cocamide MEA,N-(2-hydroxyethyl)dodecanamide
Cocos Nucifera (Coconut) Oil,1-Decanoyloxy-3-octanoyloxypropan-2-yl dodecanoate
Butylcarbamate,Butylcarbamate
Limonene,1-methyl-4-(1-methylethenyl)-cyclohexene
Sodium C12-13 Pareth Sulfate,"poly(oxy-1,2-ethanediyl)"
Sodium Gluconate,Sodium Gluconate
Citric Acid,Citric Acid
Carbomer,poly(1-carboxyethylene)
PPG-9,2-(2-hydroxypropoxy)propan-1-ol
Disodium EDTA,disodium dihydrogen ethylenediaminetetraacetate
Hydrolyzed Soy Protein,"Protein hydrolysates, soya"
Benzyl Salicylate,Benzyl Salicylate
Linalool,Linalool
Sodium Benzoate,Sodium Benzoate
Sodium Chloride,Sodium Chloride
Sodium Laureth Sulfate,sodium 2-(dodecyloxy)ethyl sulfate
TEADodecylbenzenesulfonate,dodecylbenzenesulphonic acid
PEG-45M,poly(oxyethylene)
Iodopropynyl,Iodopropynyl
Citronellol,Citronellol
Glycerin,Glycerin
Guar,2-hydroxypropyl ether
Hexyl Cinnamal,Hexyl Cinnamal
Titanium Dioxide (CI 77891).,Titanium dioxide